territorio,escenario,indicador,valor
GUAVIARE,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,347
HUILA,Mayo 2026 - Primera vuelta,Potencial,937739
HUILA,Junio 2026 - Segunda vuelta proyectada,Potencial,937739
HUILA,Mayo 2026 - Primera vuelta,Sufragantes,555856
HUILA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,533080
HUILA,Mayo 2026 - Primera vuelta,Votos válidos,548675
HUILA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,527126
HUILA,Mayo 2026 - Primera vuelta,Votos por candidatos,538672
HUILA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,508379
HUILA,Mayo 2026 - Primera vuelta,Voto en blanco,10003
HUILA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,18747
HUILA,Mayo 2026 - Primera vuelta,Votos nulos,5939
HUILA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,4713
HUILA,Mayo 2026 - Primera vuelta,Votos no marcados,1242
HUILA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,1241
LA GUAJIRA,Mayo 2026 - Primera vuelta,Potencial,708846
LA GUAJIRA,Junio 2026 - Segunda vuelta proyectada,Potencial,708846
LA GUAJIRA,Mayo 2026 - Primera vuelta,Sufragantes,257464
LA GUAJIRA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,298216
LA GUAJIRA,Mayo 2026 - Primera vuelta,Votos válidos,254192
LA GUAJIRA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,292894
LA GUAJIRA,Mayo 2026 - Primera vuelta,Votos por candidatos,250376
LA GUAJIRA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,287508
LA GUAJIRA,Mayo 2026 - Primera vuelta,Voto en blanco,3816
LA GUAJIRA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,5386
LA GUAJIRA,Mayo 2026 - Primera vuelta,Votos nulos,2534
LA GUAJIRA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,4082
LA GUAJIRA,Mayo 2026 - Primera vuelta,Votos no marcados,738
LA GUAJIRA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,1240
MAGDALENA,Mayo 2026 - Primera vuelta,Potencial,1089418
MAGDALENA,Junio 2026 - Segunda vuelta proyectada,Potencial,1089418
MAGDALENA,Mayo 2026 - Primera vuelta,Sufragantes,507993
MAGDALENA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,559349
MAGDALENA,Mayo 2026 - Primera vuelta,Votos válidos,503190
MAGDALENA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,553604
MAGDALENA,Mayo 2026 - Primera vuelta,Votos por candidatos,495634
MAGDALENA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,542041
MAGDALENA,Mayo 2026 - Primera vuelta,Voto en blanco,7556
MAGDALENA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,11563
MAGDALENA,Mayo 2026 - Primera vuelta,Votos nulos,3712
MAGDALENA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,4451
MAGDALENA,Mayo 2026 - Primera vuelta,Votos no marcados,1091
MAGDALENA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,1294
META,Mayo 2026 - Primera vuelta,Potencial,854033
META,Junio 2026 - Segunda vuelta proyectada,Potencial,854033
META,Mayo 2026 - Primera vuelta,Sufragantes,546955
META,Junio 2026 - Segunda vuelta proyectada,Sufragantes,540495
META,Mayo 2026 - Primera vuelta,Votos válidos,536993
META,Junio 2026 - Segunda vuelta proyectada,Votos válidos,533144
META,Mayo 2026 - Primera vuelta,Votos por candidatos,527444
META,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,510446
META,Mayo 2026 - Primera vuelta,Voto en blanco,9549
META,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,22698
META,Mayo 2026 - Primera vuelta,Votos nulos,9000
META,Junio 2026 - Segunda vuelta proyectada,Votos nulos,6244
META,Mayo 2026 - Primera vuelta,Votos no marcados,962
META,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,1107
NARIÑO,Mayo 2026 - Primera vuelta,Potencial,1225565
NARIÑO,Junio 2026 - Segunda vuelta proyectada,Potencial,1225565
NARIÑO,Mayo 2026 - Primera vuelta,Sufragantes,701088
NARIÑO,Junio 2026 - Segunda vuelta proyectada,Sufragantes,699233
NARIÑO,Mayo 2026 - Primera vuelta,Votos válidos,689794
NARIÑO,Junio 2026 - Segunda vuelta proyectada,Votos válidos,693204
NARIÑO,Mayo 2026 - Primera vuelta,Votos por candidatos,676907
NARIÑO,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,672332
NARIÑO,Mayo 2026 - Primera vuelta,Voto en blanco,12887
NARIÑO,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,20872
NARIÑO,Mayo 2026 - Primera vuelta,Votos nulos,8986
NARIÑO,Junio 2026 - Segunda vuelta proyectada,Votos nulos,4559
NARIÑO,Mayo 2026 - Primera vuelta,Votos no marcados,2308
NARIÑO,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,1470
NORTE DE SAN,Mayo 2026 - Primera vuelta,Potencial,1369050
NORTE DE SAN,Junio 2026 - Segunda vuelta proyectada,Potencial,1369050
NORTE DE SAN,Mayo 2026 - Primera vuelta,Sufragantes,741716
NORTE DE SAN,Junio 2026 - Segunda vuelta proyectada,Sufragantes,665109
NORTE DE SAN,Mayo 2026 - Primera vuelta,Votos válidos,735200
NORTE DE SAN,Junio 2026 - Segunda vuelta proyectada,Votos válidos,665109
NORTE DE SAN,Mayo 2026 - Primera vuelta,Votos por candidatos,726503
NORTE DE SAN,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,646731
NORTE DE SAN,Mayo 2026 - Primera vuelta,Voto en blanco,8697
NORTE DE SAN,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,18378
NORTE DE SAN,Mayo 2026 - Primera vuelta,Votos nulos,5426
NORTE DE SAN,Junio 2026 - Segunda vuelta proyectada,Votos nulos,0
NORTE DE SAN,Mayo 2026 - Primera vuelta,Votos no marcados,1090
NORTE DE SAN,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,0
PUTUMAYO,Mayo 2026 - Primera vuelta,Potencial,263450
